Name,Beer Name (Full),ABV
Amber,Alaskan Brewing Co. Alaskan Amber,"0,05"
Double Bag,Long Trail Brewing Co. Double Bag,"0,07"
Long Trail Ale,Long Trail Brewing Co. Long Trail Ale,"0,05"
Doppelsticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Doppelsticke,"0,09"
Sleigh'r Dark Doüble Alt Ale,Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,"0,07"
Sticke,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Sticke,"0,06"
Okto Festival Ale,Widmer Brothers Brewing Company Okto,"0,05"
Southampton Altbier,Southampton Publick House Southampton Altbier,"0,05"
Copper,The Olde Mecklenburg Brewery OMB Copper,"0,05"
Organic Münster Alt,Brauerei Pinkus Mueller Organic Münster Alt,"0,05"
Altbier,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),"0,05"
Gerst Amber,Yazoo Brewing Company Gerst Amber,"0,05"
Ad Astra Ale,Free State Brewing Co. Ad Astra Ale,"0,06"
Copperhead Ale,Fordham Brewing Company Fordham Copperhead Ale,"0,05"
Ten Years Alt,Victory Brewing Company Ten Years Alt,"0,09"
Three Blind Mice,Mother's Brewing Company Three Blind Mice,"0,06"
Ishmael,Rising Tide Brewing Company Ishmael,"0,05"
Headwall Alt,Tuckerman Brewing Co. Headwall Alt,"0,05"
Alt-eration Ale,Hops & Grain Alt-eration Ale,"0,05"
Schell's Schmaltz's Alt,August Schell Brewing Company Barrel Aged Schmaltz's Alt,"0,05"
Frankenheim Alt,Privatbrauerei Frankenheim Frankenheim Alt,"0,05"
Iron Works Alt,Metropolitan Brewing Iron Works Alt,"0,06"
Diebels Premium Altbier,Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,"0,05"
Mission Amber,Mission Brewery Mission Amber,"0,05"
Hövels Original,Hövels Hausbrauerei Hövels Original Bitterbier,"0,06"
Secret Spot Alt Ale,Evolution Craft Brewing Company Secret Spot Winter Ale,"0,06"
Lighthouse Amber,Cheboygan Brewing Company Lighthouse Amber,"0,05"
Série Signature Sticke Alt,Les Trois Mousquetaires Série Signature Sticke Alt,"0,06"
Crooked Coast Altbier,Driftwood Brewery Crooked Coast Amber Ale,"0,05"
Gravel Road,Rahr & Sons Brewing Company Gravel Road,"0,07"
Little Red Cap,Grimm Brothers Brewhouse Little Red Cap,"0,05"
Festivale,Beau's All Natural Brewing Company Festivale,"0,05"
Moby D,Buzzards Bay Brewing Moby D,"0,05"
Über Alt,Rush River Brewing Company Über Alt,"0,09"
Füchschen Alt,Brauerei Im Füchschen Im Füchschen Alt,"0,05"
Sticke It To The Man,O'Fallon Brewery Sticke It To The Man,"0,08"
Evan Altmighty,Blue Mountain Brewery Evan Altmighty,"0,07"
ALTerior Motive,COAST Brewing Company ALTerior Motive,"0,06"
The Detroit Dwarf,Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,"0,07"
Olde School Barleywine,Dogfish Head Brewery Olde School Barleywine,"0,15"
Brewer's Reserve Bourbon Barrel Barleywine,Central Waters Brewing Company Bourbon Barrel Barleywine,"0,14"
Old Ruffian,Great Divide Brewing Company Old Ruffian Barley Wine,"0,10"
Old Horizontal,Victory Brewing Company Old Horizontal,"0,11"
Behemoth,Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,"0,11"
Olde GnarlyWine,Lagunitas Brewing Company Olde GnarlyWine,"0,11"
Old Numbskull,AleSmith Brewing Company AleSmith Old Numbskull,"0,11"
Flying Mouflan,Tröegs Brewing Company Flying Mouflan,"0,09"
XS Old Crustacean,Rogue Ales XS Old Crustacean,"0,12"
Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room Doggie Claws,"0,12"
Helldorado,Firestone Walker Brewing Co. Helldorado,"0,13"
Cockeyed Cooper,Uinta Brewing Company Cockeyed Cooper,"0,11"
Solstice D'hiver,Brasserie Dieu Du Ciel Solstice D'hiver,"0,10"
Anniversary Barley Wine Ale,Uinta Brewing Company Anniversary Barley Wine,"0,10"
Barleywine Style Ale,Green Flash Brewing Co. Barleywine Style Ale,"0,11"
Lower De Boom Barleywine,21st Amendment Brewery Lower Da Boom Barleywine,"0,12"
Killer Penguin Barleywine,Boulder Beer / Wilderness Pub Killer Penguin Barleywine,"0,10"
Great,Alpine Beer Company Great,"0,14"
Griffin's BowBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Griffin's Bow,"0,12"
Sisyphus,Real Ale Brewing Company Sisyphus,"0,12"
Gratitude,East End Brewing Company Gratitude,"0,12"
Barleywine Ale,The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,"0,11"
The Vermonster,Rock Art Brewery Vermonster,"0,10"
