Beer Name (Full),Name,Searching Words,Product link
Alaskan Brewing Co. Alaskan Amber,Amber,Beer+Amber,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Amber&tbm=shop&source
Long Trail Brewing Co. Double Bag,Double Bag,Beer+Double+Bag,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Double+Bag&tbm=shop&source
Long Trail Brewing Co. Long Trail Ale,Long Trail Ale,Beer+Long+Trail+Ale,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Long+Trail+Ale&tbm=shop&source
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Doppelsticke,Doppelsticke,Beer+Doppelsticke,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Doppelsticke&tbm=shop&source
Ninkasi Brewing Company Sleigh'r Dark Doüble Alt Ale,Sleigh'r Dark Doüble Alt Ale,Beer+Sleigh'r+Dark+Doüble+Alt+Ale,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Sleigh'r+Dark+Doüble+Alt+Ale&tbm=shop&source
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Sticke,Sticke,Beer+Sticke,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Sticke&tbm=shop&source
Widmer Brothers Brewing Company Okto,Okto Festival Ale,Beer+Okto+Festival+Ale,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Okto+Festival+Ale&tbm=shop&source
Southampton Publick House Southampton Altbier,Southampton Altbier,Beer+Southampton+Altbier,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Southampton+Altbier&tbm=shop&source
The Olde Mecklenburg Brewery OMB Copper,Copper,Beer+Copper,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Copper&tbm=shop&source
Brauerei Pinkus Mueller Organic Münster Alt,Organic Münster Alt,Beer+Organic+Münster+Alt,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Organic+Münster+Alt&tbm=shop&source
Uerige Obergärige Hausbrauerei GmbH / Zum Uerige Uerige Altbier (Classic),Altbier,Beer+Altbier,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Altbier&tbm=shop&source
Yazoo Brewing Company Gerst Amber,Gerst Amber,Beer+Gerst+Amber,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Gerst+Amber&tbm=shop&source
Free State Brewing Co. Ad Astra Ale,Ad Astra Ale,Beer+Ad+Astra+Ale,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Ad+Astra+Ale&tbm=shop&source
Fordham Brewing Company Fordham Copperhead Ale,Copperhead Ale,Beer+Copperhead+Ale,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Copperhead+Ale&tbm=shop&source
Victory Brewing Company Ten Years Alt,Ten Years Alt,Beer+Ten+Years+Alt,https://www.google.es/search?sca_esv=599547849&sxsrf=ACQVn09aga5svbAS-plU3e3LnOT2sF3afg:1705610373640&q=Beer+Ten+Years+Alt&tbm=shop&source
